wp,name,location,type,state,size,difficulty,terrain,favorites,hidden,author,attributes,mx,my
GC83X76,Den kurete Vindaloo 2019,"49 12m 4.86s N, 16 36m 38.448s E",event,True,other,1.0,1.5,0,2019-05-15,Etigo,"{'wheelchair': False, 'fee': True, 'kids': True, 'danger': True, 'parking': True, 'public': True, 'water': True, 'restrooms': True, 'food': True}",0.5067499999999933,0.5183225806451551
GC1C563,James Bond - For Your Eyes Only,"49 11m 45.528s N, 16 36m 46.548s E",mystery,True,not_chosen,5.0,4.0,273,2008-05-27,Sinuhet,"{'kids': False, 'onehour': False, 'wheelchair': False, 'stroller': False, 'available': True, 'danger': True, 'bicycles': True}",0.47989999999999666,0.5255806451612843
GC82ZRZ,Cimrmanův inverzní šek,"49 11m 45.492s N, 16 36m 46.152s E",mystery,True,small,4.5,4.0,14,2019-01-29,lukasMK,"{'bicycles': True, 'winter': True, 'treeclimbing': True, 'available': True, 'public': True, 'parking': True, 'thorn': True, 'dogs': True, 'scenic': True}",0.4798500000000163,0.525225806451609
GC55WRP,PIVOVARY BRNENSKA XXI - Minipivovar Pegas,"49 11m 46.752s N, 16 36m 25.488s E",mystery,True,micro,4.0,1.5,4,2014-06-18,safarici,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'winter': True, 'public': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'hike_short': True, 'firstaid': True}",0.4816000000000034,0.5067096774193529
GC37ZBZ,Mamba cerna,"49 11m 43.62s N, 16 36m 36.72s E",mystery,True,micro,2.0,2.0,112,2011-11-19,tomarctus,"{'wheelchair': False, 'winter': False, 'available': True, 'dangerousanimals': True, 'stealth': True, 'onehour': True, 'kids': True, 'stroller': True, 'dogs': True, 'bicycles': True}",0.4772500000000081,0.5167741935483823
GC860MQ,Leap Day -306,"49 12m 4.68s N, 16 36m 28.188s E",event,True,other,1.0,1.0,0,2019-04-29,Fx-nuclear&myška,{'wheelchair': True},0.5065000000000205,0.5091290322580626
GC7ECDC,MdB (Mě divadlo Baví),"49 12m 5.148s N, 16 36m 27.792s E",mystery,True,micro,2.5,1.0,148,2017-11-13,6Kre,"{'kids': True, 'onehour': True, 'available': True, 'winter': True, 'wheelchair': True, 'public': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'field_puzzle': True}",0.5071500000000136,0.5087741935483873
GC803G9,Cryptoanalytic,"49 12m 5.58s N, 16 36m 46.008s E",mystery,True,micro,5.0,2.5,5,2018-11-08,nudavbrne,"{'available': True, 'stealth': True, 'night': True}",0.5077499999999909,0.5250967741935493
GC73QAK,JAROŠKA SLAVÍ,"49 12m 7.272s N, 16 36m 39.96s E",mystery,True,small,3.5,1.0,140,2017-04-12,6Kre,"{'field_puzzle': False, 'wheelchair': True, 'winter': True, 'public': True, 'wirelessbeacon': True, 'parking': True, 'stroller': True, 'stealth': True, 'available': True}",0.5100999999999909,0.5196774193548386
GC1XWH4,Brnenske povesti,"49 11m 43.008s N, 16 36m 28.08s E",multicache,True,regular,3.5,2.0,178,2009-08-29,Fi1618 & Pitel,"{'available': False, 'wheelchair': False, 'winter': True, 'touristok': True, 'parking': True, 'public': True, 'scenic': True, 'kids': True}",0.476399999999987,0.5090322580645179
GC82M70,Úrazovka,"49 11m 52.332s N, 16 36m 56.988s E",traditional,True,micro,2.5,1.0,0,2019-01-20,Bredly87,"{'bicycles': True, 'winter': True, 'available': True, 'parking': True, 'wheelchair': True, 'kids': True, 'motorcycles': True, 'stroller': True, 'parkngrab': True, 'dogs': True, 'stealth': True}",0.48935000000001216,0.5349354838709629
GC2JVCA,U taboroveho ohne,"49 11m 45.96s N, 16 36m 22.32s E",mystery,True,small,2.0,2.5,63,2010-11-28,Mudlodcera,"{'available': True, 'stroller': True, 'onehour': True, 'kids': True, 'ticks': True, 'dogs': True}",0.48050000000000953,0.5038709677419378
GC863BY,Meet & Greet in Brno,"49 11m 42s N, 16 36m 31.032s E",event,True,other,1.0,1.0,0,2019-05-02,West Coast Team,"{'camping': False, 'snowmobiles': False, 'campfires': False, 'horses': False, 'onehour': True, 'wheelchair': True, 'parking': True, 'public': True, 'water': True, 'restrooms': True, 'phone': True, 'stroller': True, 'hike_short': True, 'food': True, 'touristok': True}",0.4750000000000044,0.511677419354832
GC8040F,Neexistující kostel,"49 11m 41.748s N, 16 36m 30.78s E",multicache,True,micro,2.0,2.0,8,2018-11-14,nudavbrne,"{'night': False, 'parking': False, 'dogs': True, 'scenic': True, 'winter': True, 'bicycles': True, 'stealth': True, 'hike_med': True, 'touristok': True, 'firstaid': True}",0.4746499999999999,0.5114516129032277
GC7B92V,Keška (ne)Svobody,"49 11m 42.252s N, 16 36m 29.7s E",virtual,True,virtual,2.0,1.0,134,2017-10-23,6Kre,"{'parking': False, 'kids': True, 'onehour': True, 'available': True, 'night': True, 'winter': True, 'wheelchair': True, 'public': True, 'bicycles': True, 'stroller': True, 'food': True, 'touristok': True}",0.475350000000009,0.5104838709677346
GC7B7H2,Ctyri zarovky / Four light bulbs,"49 11m 43.08s N, 16 36m 47.88s E",virtual,True,virtual,2.0,1.0,125,2017-08-26,alchymist,"{'night': True, 'wheelchair': True, 'teamwork': True, 'public': True, 'touristok': True}",0.47650000000001874,0.5267741935483818
GC7B9JB,Brněnský orloj,"49 11m 41.388s N, 16 36m 31.32s E",virtual,True,virtual,1.5,1.0,26,2018-07-11,Pokorny.Brno,"{'bicycles': True, 'winter': True, 'available': True, 'phone': True, 'water': True, 'food': True, 'wheelchair': True, 'stroller': True}",0.47415000000001883,0.5119354838709628
GC73070,Klobouk,"49 11m 41.532s N, 16 36m 30.132s E",mystery,True,micro,4.5,2.0,10,2017-03-30,StuntJ,"{'motorcycles': True, 'bicycles': True, 'stealth': True, 'thorn': True, 'horses': True, 'dogs': True}",0.47435000000001126,0.5108709677419364
GC84A0E,Zastaveníčko v Brně,"49 11m 41.1s N, 16 36m 30.708s E",event,True,other,1.0,1.0,0,2019-04-10,Cimrman & Jorinka,"{'dogs': True, 'night': True, 'winter': True, 'wheelchair': True, 'bicycles': True, 'motorcycles': True, 'quads': True, 'jeeps': True, 'parking': True, 'public': True}",0.47374999999999845,0.5113870967741979
GC2Q3Q6,Brno Webcam Cache (GeoRetro 1),"49 11m 54.528s N, 16 36m 13.608s E",mystery,True,micro,3.0,1.5,32,2011-03-12,Schvon_CZ,"{'dogs': True, 'onehour': True, 'available': True, 'winter': True, 'parking': True, 'public': True, 'bicycles': True, 'motorcycles': True, 'stroller': True, 'food': True, 'firstaid': True}",0.4924000000000211,0.4960645161290323
GC84CAQ,Meet and Greet by kapitanR,"49 12m 9.468s N, 16 36m 46.44s E",event,True,other,1.0,1.0,0,2019-04-08,kapitanR,"{'dogs': True, 'kids': True, 'wheelchair': True, 'bicycles': True, 'parking': True, 'public': True, 'water': True, 'restrooms': True, 'phone': True, 'stroller': True, 'food': True}",0.5131499999999999,0.5254838709677396
GC1G67P,Dedictvi II.,"49 11m 43.8s N, 16 36m 19.908s E",traditional,True,micro,2.0,1.0,5,2008-09-11,Betax & Evicka,"{'dogs': True, 'available': True, 'winter': True, 'wheelchair': True, 'public': True, 'bicycles': True}",0.4775000000000164,0.5017096774193589
GC19QQF,Stare Divadlo - Old Theatre,"49 11m 55.32s N, 16 36m 11.7s E",traditional,True,micro,1.5,1.0,5,2008-02-28,kantor,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'wheelchair': True, 'bicycles': True, 'stroller': True, 'touristok': True, 'firstaid': True}",0.49350000000001504,0.49435483870967345
GC1NF3J,Pamatne stromy Brna - Platan na Benesove tride,"49 11m 39.84s N, 16 36m 52.38s E",traditional,True,micro,2.0,1.5,13,2009-03-08,Fifinka s rodinou,"{'motorcycles': True, 'bicycles': True, 'night': True, 'available': True, 'public': True, 'firstaid': True, 'stroller': True, 'stealth': True, 'dogs': True}",0.47200000000001135,0.5308064516129057
GC7B9EK,Mincmistrovsky sklep,"49 11m 39.48s N, 16 36m 21.672s E",virtual,True,virtual,1.5,1.0,17,2018-05-03,Shebyr,"{'bicycles': True, 'available': True, 'touristok': True, 'public': True, 'wheelchair': True, 'kids': True, 'stroller': True}",0.47149999999999476,0.5032903225806467
GC1B1ET,Nova radnice,"49 11m 38.688s N, 16 36m 22.212s E",multicache,True,micro,2.5,1.5,45,2008-04-08,kantor,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'night': True, 'winter': True, 'bicycles': True, 'touristok': True, 'firstaid': True}",0.4704000000000009,0.5037741935483817
GC2HRZ9,FBX101,"49 11m 37.032s N, 16 36m 47.7s E",mystery,True,regular,1.5,1.5,98,2010-11-13,"wall3, hawel, jeskynar1","{'motorcycles': True, 'bicycles': True, 'available': True, 'firstaid': True, 'public': True, 'parking': True, 'dogs': True}",0.46810000000001684,0.5266129032258072
GCKP2H,Sedm smrtelnych hrichu / Se7en Deadly Sins,"49 12m 2.772s N, 16 36m 10.08s E",multicache,True,regular,2.5,1.5,87,2004-09-28,dape team,{'firstaid': True},0.5038499999999965,0.4929032258064453
GC23XCX,I cesta muze mit cil...,"49 11m 34.908s N, 16 36m 35.928s E",mystery,True,small,4.0,1.5,37,2010-04-14,Betax & Evicka,"{'onehour': False, 'scenic': False, 'available': False, 'night': False, 'wheelchair': False, 'dogs': True, 'kids': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'touristok': True}",0.4651500000000041,0.5160645161290314
GC38Z83,Draci hnizdo – Bonus Dracich sifer,"49 11m 35.088s N, 16 36m 30.6s E",mystery,True,small,4.0,3.0,71,2011-12-09,Drakovi,"{'winter': True, 'kids': True, 'hike_med': True, 'bicycles': True, 'ticks': True, 'dogs': True}",0.4654000000000124,0.5112903225806417
GC7B7WF,Brněnský drak / The Dragon of Brno,"49 11m 35.232s N, 16 36m 31.032s E",virtual,True,virtual,1.0,1.0,34,2018-06-26,sjara,"{'kids': True, 'available': True, 'wheelchair': True, 'winter': True, 'stroller': True}",0.46560000000000484,0.511677419354832
GCKZQ3,Cache podle kalendare / Calendar's cache,"49 11m 33.9s N, 16 36m 41.472s E",multicache,True,micro,2.5,1.5,13,2004-11-02,dape team,{'firstaid': True},0.463749999999986,0.5210322580645105
GC55WR0,PIVOVARY BRNENSKA XXVI - Pivovar Charlie's Square,"49 11m 33.9s N, 16 36m 40.248s E",mystery,True,micro,4.0,1.5,10,2014-06-18,safarici,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'winter': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'hike_short': True}",0.463749999999986,0.5199354838709692
GCTY4K,Obrazova cache,"49 11m 38.328s N, 16 36m 16.992s E",mystery,True,regular,4.5,2.0,18,2006-03-17,Brouk & spol.,"{'bicycles': True, 'scenic': True, 'horses': True, 'dogs': True}",0.46990000000001975,0.4990967741935482
GC246XV,Pravnicka fakulta,"49 11m 33.252s N, 16 36m 34.452s E",mystery,True,small,2.0,1.5,4,2010-03-18,Verunka... & Taujar,"{'dogs': True, 'onehour': True, 'available': True, 'winter': True, 'parking': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'firstaid': True}",0.4628500000000201,0.5147419354838744
GC2QAW0,Kostky jsou vrzeny,"49 11m 33.468s N, 16 36m 41.868s E",mystery,True,other,3.5,1.0,22,2011-03-18,korys,"{'bicycles': True, 'winter': True, 'available': True, 'public': True, 'onehour': True, 'stealth': True, 'stroller': True, 'dogs': True}",0.4631500000000087,0.5213870967741974
GC7TD0M,AR_Turistická trasa Brnem,"49 11m 33.36s N, 16 36m 30.852s E",mystery,True,micro,2.5,1.5,48,2018-07-15,lukasMK,"{'food': True, 'bicycles': True, 'teamwork': True, 'available': True, 'touristok': True, 'public': True, 'parking': True, 'onehour': True, 'stealth': True, 'hike_med': True, 'field_puzzle': True}",0.46299999999999664,0.5115161290322575
GC1938C,Kryt 10Z (BP #5),"49 11m 37.248s N, 16 36m 17.82s E",mystery,True,small,3.0,1.5,25,2008-02-03,Green Cone Team,"{'winter': False, 'bicycles': True, 'night': True, 'firstaid': True, 'onehour': True, 'stealth': True, 'motorcycles': True, 'stroller': True, 'dogs': True}",0.4684000000000055,0.499838709677414
GC2ZFJV,Ledni medved,"49 11m 32.568s N, 16 36m 32.58s E",mystery,True,regular,2.5,2.5,87,2011-07-04,tomarctus,"{'winter': False, 'wheelchair': False, 'dogs': True, 'kids': True, 'available': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'parkngrab': True, 'hike_med': True, 'food': True, 'firstaid': True}",0.4619000000000027,0.5130645161290304
GC7B9MP,Kasna Parnas,"49 11m 32.532s N, 16 36m 32.4s E",virtual,True,virtual,1.0,1.0,144,2017-08-24,valdinci,"{'dogs': True, 'available': True, 'winter': True, 'wheelchair': True, 'bicycles': True, 'stroller': True, 'firstaid': True}",0.4618499999999868,0.5129032258064559
GC6ARKB,Oblehani Brna,"49 11m 37.572s N, 16 36m 13.572s E",letterbox,True,micro,1.5,2.0,50,2016-02-23,šindy,"{'dogs': True, 'onehour': True, 'available': True, 'public': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'hike_short': True, 'touristok': True}",0.4688500000000062,0.4960322580645174
GC3BYPB,PIVOVARY BRNENSKA VII - Mestsky pivovar v Brne,"49 11m 33.648s N, 16 36m 22.608s E",mystery,True,micro,3.5,1.5,49,2012-04-13,safarici,"{'wheelchair': True, 'winter': True, 'stealth': True, 'onehour': True, 'kids': True, 'dogs': True}",0.463400000000017,0.5041290322580572
GC1GZYV,Rybicka / FISH,"49 12m 13.608s N, 16 36m 59.472s E",mystery,True,small,2.5,2.0,16,2009-01-26,Evicka & Betax,"{'available': True, 'winter': True, 'public': True, 'stealth': True}",0.5189000000000132,0.5371612903225832
GC7GB78,Falun Gong,"49 12m 18.288s N, 16 36m 40.392s E",traditional,True,small,2.0,1.5,5,2018-06-29,chipsycz,"{'onehour': False, 'dogs': True, 'kids': True, 'available': True, 'bicycles': True, 'stealth': True, 'stroller': True}",0.525400000000016,0.5200645161290289
GC1MD6N,Chytte Betaxe,"49 12m 1.8s N, 16 36m 1.8s E",mystery,True,micro,3.5,2.0,110,2009-09-05,Betax & Evicka,"{'wheelchair': False, 'stroller': False, 'available': True, 'thorn': True, 'ticks': True, 'dogs': True}",0.5024999999999942,0.4854838709677415
GC7YKCX,AGT 103: Moravske zemske muzeum,"49 11m 30.66s N, 16 36m 30.672s E",earthcache,True,other,3.0,1.0,12,2018-10-04,Alke04,"{'dogs': False, 'available': False, 'fee': True, 'wheelchair': True, 'public': True, 'restrooms': True, 'food': True, 'touristok': True}",0.45925000000001415,0.5113548387096715
GC6C3DT,Stiny hrdinu / Shadows of heroes,"49 11m 30.372s N, 16 36m 45.288s E",mystery,True,small,3.0,1.5,313,2016-02-26,"VitanZS, Kožuch2013","{'wheelchair': False, 'bicycles': True, 'winter': True, 'available': True, 'motorcycles': True, 'onehour': True, 'kids': True, 'hike_med': True, 'parking': True, 'dogs': True, 'quads': True}",0.45884999999999376,0.5244516129032283
GC13JDQ,Spilberk,"49 11m 40.2s N, 16 36m 4.572s E",traditional,True,micro,1.5,1.5,39,2007-07-29,Caskovi (adoptováno od SHANTI Team),"{'dogs': True, 'kids': True, 'available': True, 'bicycles': True, 'stroller': True}",0.4724999999999924,0.48796774193548104
GC3PNXE,Brnensky trojuhelnik,"49 11m 44.34s N, 16 36m 0.288s E",mystery,True,small,3.5,4.0,17,2012-07-07,suzhor,"{'climbing': True, 'thorn': True}",0.47825000000000584,0.4841290322580581
GC1ZJWJ,Porouchaný monitor,"49 12m 12.78s N, 16 37m 6.96s E",mystery,True,small,4.5,2.5,14,2009-10-07,Arne1,"{'stroller': False, 'wheelchair': False, 'campfires': False, 'bicycles': True, 'available': True, 'public': True, 'horses': True, 'dogs': True}",0.5177500000000034,0.5438709677419361
GC1J7A4,Labyrint,"49 11m 30.48s N, 16 36m 19.512s E",mystery,True,micro,5.0,1.0,143,2009-06-08,Cavalier Team,"{'wheelchair': True, 'bicycles': True, 'available': True, 'parking': True, 'stroller': True, 's-tool': True}",0.45900000000000585,0.501354838709672
GC1C3AR,Pamatne stromy Brna - Platan na Veveri,"49 12m 5.112s N, 16 35m 58.56s E",traditional,True,micro,3.0,1.5,11,2008-05-09,Murder.exe,"{'onehour': True, 'available': True, 'parking': True, 'public': True, 'stealth': True}",0.5070999999999978,0.4825806451612852
GC7ZMCX,Brno - hlavni nadrazi,"49 11m 27.96s N, 16 36m 47.16s E",mystery,True,micro,4.0,1.0,1,2018-10-28,IOM-CZ,"{'bicycles': True, 'touristok': True, 'public': True, 'food': True, 'wheelchair': True, 'stealth': True}",0.4554999999999962,0.5261290322580607
GC1D3F9,Top 10 POI - Brno,"49 11m 27.312s N, 16 36m 44.568s E",mystery,True,other,2.0,1.5,152,2008-06-10,sharkiacs,"{'dogs': True, 'available': True, 'winter': True, 'public': True, 'bicycles': True, 'stroller': True, 'touristok': True}",0.45459999999999473,0.5238064516129072
GC3JKBX,Tamhle je Petrov / It is Petrov over there ver.2,"49 11m 27.6s N, 16 36m 26.64s E",mystery,True,small,2.5,3.5,2,2012-11-10,LiShitteam (adopted from l3mur),"{'winter': False, 'night': False, 'bicycles': True, 'available': True, 'touristok': True, 'scenic': True, 'thorn': True, 'cliff': True, 'campfires': True, 'dogs': True}",0.4550000000000151,0.5077419354838644
GC813DH,Petrov a Denisovy Sady,"49 11m 27.672s N, 16 36m 25.38s E",multicache,True,micro,3.0,2.5,11,2018-12-10,nudavbrne,"{'wheelchair': False, 'bicycles': False, 'night': False, 'stroller': False, 'nightcache': False, 'available': True, 'public': True, 'scenic': True, 'onehour': True, 'stealth': True, 'hike_med': True}",0.45510000000001133,0.5066129032258082
GC6BK2M,Sokol Brno I (016),"49 12m 12.168s N, 16 36m 2.7s E",traditional,True,regular,2.0,1.5,11,2016-06-02,_arielle_,"{'available': False, 'dogs': True, 'kids': True, 'winter': True, 'wheelchair': True, 'bicycles': True, 'stealth': True}",0.5169000000000178,0.4862903225806486
GC1M8M7,Machine Translation,"49 12m 2.412s N, 16 35m 54.96s E",mystery,True,micro,3.0,1.5,9,2009-06-24,Milda,"{'campfires': False, 'winter': True, 'firstaid': True, 'available': True, 'phone': True, 'restrooms': True, 'stroller': True, 'parking': True, 'wheelchair': True, 'stealth': True, 'hike_med': True, 'dogs': True}",0.5033500000000154,0.4793548387096798
GC6WQH8,Kam dnes vyrazíme za kulturou? #2,"49 11m 31.668s N, 16 37m 4.728s E",traditional,True,other,2.5,1.5,185,2016-11-09,Geosebik,"{'dogs': True, 'kids': True, 'available': True, 'winter': True, 'bicycles': True, 'public': True, 'stroller': True}",0.46064999999999673,0.5418709677419316
GC19Z28,Delova koule na Spilberku (kes),"49 11m 39.84s N, 16 35m 59.1s E",wherigo,True,micro,3.0,1.5,219,2008-03-08,marekl (adopted by niximor),"{'onehour': False, 'dogs': True, 'kids': True, 'scenic': True, 'available': True, 'public': True, 'stroller': True, 'hike_med': True, 'firstaid': True}",0.47200000000001135,0.48306451612903173
GC3CPBQ,Benedikt XVI. v Brne 2/3- Papezuv Kriz,"49 11m 25.62s N, 16 36m 30.852s E",mystery,True,micro,2.0,2.5,8,2012-08-22,ReZ_BMHD (adoptováno od valeano),"{'dogs': True, 'onehour': True, 'available': True, 'winter': True, 'wheelchair': True, 'public': True, 'stealth': True, 'hike_long': True, 'touristok': True}",0.4522499999999948,0.5115161290322575
GC7B9PG,Spilas,"49 11m 37.32s N, 16 36m 0.612s E",virtual,True,virtual,1.5,2.5,47,2017-10-02,*MITAM*,"{'kids': True, 'bicycles': True, 'stroller': True, 'scenic': True, 'dogs': True}",0.4685000000000017,0.4844193548387037
GC44FX9,Brnensky „BRONX“,"49 12m 0.72s N, 16 37m 21.792s E",traditional,True,micro,1.5,1.0,5,2013-01-23,Battos,"{'available': True, 'night': True, 'winter': True, 'bicycles': True, 'motorcycles': True, 'stealth': True}",0.5010000000000154,0.5571612903225822
GC37WMN,Brnensky funkcionalismus,"49 12m 11.988s N, 16 36m 0.468s E",multicache,True,micro,2.0,2.0,24,2011-12-18,ar1es,"{'motorcycles': True, 'bicycles': True, 'available': True, 'touristok': True, 'winter': True, 'stealth': True, 'hike_med': True, 'dogs': True}",0.5166500000000095,0.4842903225806441
GC61ZN4,Mestska trznice,"49 11m 55.932s N, 16 37m 22.908s E",multicache,True,micro,1.5,1.0,8,2015-08-28,Joska4,"{'dogs': True, 'kids': True, 'onehour': True, 'available': True, 'winter': True, 'wheelchair': True, 'parking': True, 'public': True, 'phone': True, 'bicycles': True, 'stealth': True, 'stroller': True, 'field_puzzle': True, 'hike_short': True, 'touristok': True}",0.4943500000000006,0.5581612903225788
GC7V8DH,Postovni event 4,"49 11m 55.068s N, 16 35m 52.08s E",event,True,other,1.0,1.0,0,2019-04-11,Etigo,"{'wheelchair': True, 'bicycles': True, 'food': True, 'public': True, 'parking': True, 'onehour': True, 'kids': True, 'stroller': True, 'teamwork': True, 'dogs': True}",0.49315000000001047,0.4767741935483841
GC6V6TF,Klub modelářů železnic,"49 11m 36.888s N, 16 37m 13.512s E",traditional,True,small,1.5,1.5,20,2016-10-18,MIGORMCZ,"{'dogs': False, 'available': False, 'kids': True, 'winter': True, 'parking': True, 'stealth': True, 'stroller': True}",0.4678999999999889,0.549741935483867
GC850QX,CWG šmelina Brno - květen 2019,"49 11m 27.132s N, 16 36m 20.412s E",event,True,other,1.0,1.0,0,2019-05-20,Olii05 + Pegas94,"{'teamwork': True, 'restrooms': True, 'public': True, 'parking': True, 'wheelchair': True, 'stroller': True}",0.4543499999999864,0.5021612903225791
GC6Y8VG,Zeleznicni nestesti na 5. nastupisti,"49 11m 24.54s N, 16 36m 37.152s E",multicache,True,small,2.0,1.5,584,2017-02-18,"3LP Team, K@li1","{'dogs': True, 'fee': True, 'kids': True, 'onehour': True, 'available': True, 'winter': True, 'parking': True, 'public': True, 'bicycles': True, 'stroller': True, 'food': True}",0.450750000000016,0.5171612903225841
GC1KH8R,BRNENSKY MASIV POD PETROVEM / BRNO´S MASSIF,"49 11m 25.188s N, 16 36m 28.62s E",earthcache,True,not_chosen,2.0,1.5,37,2009-01-06,Green Cone Team   (co-operation Agent.),"{'dogs': True, 'kids': True, 'onehour': True, 'public': True, 'stroller': True, 'firstaid': True}",0.4516500000000175,0.509516129032253
GC8456B,CWG šmelina Brno - duben 2019,"49 11m 26.34s N, 16 36m 20.952s E",event,True,other,1.0,1.0,0,2019-04-22,Olii05 + Pegas94,"{'kids': True, 'wheelchair': True, 'parking': True, 'public': True, 'restrooms': True, 'stroller': True}",0.4532499999999925,0.5026451612903255
GC230H2,STUDNA NA ŠPILBERKU (BP #7) / SPILBERK WELL,"49 11m 40.2s N, 16 35m 56.112s E",earthcache,True,not_chosen,2.0,1.5,76,2010-01-15,Green Cone Team,"{'restrooms': True, 'onehour': True, 'kids': True, 'wheelchair': True, 'stroller': True}",0.4724999999999924,0.4803870967741913
GC2KZ6C,Bludiště Lužánky?,"49 12m 25.38s N, 16 36m 33.372s E",mystery,True,micro,4.5,2.0,12,2011-01-02,Arne1,"{'wheelchair': False, 'quads': False, 'horses': False, 'available': True, 'winter': True, 'public': True, 'stealth': True}",0.5352500000000163,0.5137741935483813
GC17HDN,Schodova,"49 12m 25.488s N, 16 36m 44.352s E",traditional,True,micro,1.5,1.5,9,2007-11-21,swoop.name,"{'dogs': True, 'onehour': True, 'available': True, 'night': True, 'winter': True, 'parking': True, 'public': True, 'stealth': True}",0.5353999999999929,0.5236129032258062
GC1RPAX,Master of Mystery #8 - Brno,"49 11m 48.012s N, 16 35m 50.388s E",mystery,True,regular,5.0,2.5,271,2010-07-29,LuLuk (adopted from Baloni),"{'onehour': False, 'dogs': True, 'available': True, 'ticks': True}",0.4833499999999905,0.4752580645161261
GC1Q3N1,Vcelin / Beehive / Bienenhaus,"49 11m 23.568s N, 16 36m 31.212s E",mystery,True,micro,4.0,1.5,167,2009-04-25,les-coccinelles,"{'dogs': True, 'available': True, 'night': True, 'wheelchair': True, 'parking': True, 'public': True, 'stealth': True, 'stroller': True, 'firstaid': True}",0.44940000000001384,0.5118387096774181
GC849CM,Teplarna Brno 2,"49 11m 47.832s N, 16 37m 24.852s E",event,True,other,1.0,1.5,0,2019-03-30,Etigo,"{'dogs': False, 'wheelchair': False, 'danger': True, 'parking': True, 'public': True, 'restrooms': True}",0.48310000000001774,0.5599032258064526
